formula,space_group,structure,id,formation_energy
Au8Cu16,Fd-3m,"[{'data': {'a': [-5.772251500000001e-10, 0, 5.772251500000001e-10], 'b': [0, 5.772251500000001e-10, 5.772251500000001e-10], 'c': [-5.772251500000001e-10, 5.772251500000001e-10, 0], 'atoms': [{'x': -8.365824420681072e-10, 'y': 8.950930021596417e-10, 'z': 8.950930021596417e-10, 'element': 'Au'}, {'x': -6.064804271596416e-10, 'y': 5.479698670681071e-10, 'z': 3.1786785215964155e-10, 'element': 'Au'}, {'x': -6.064804271596416e-10, 'y': 3.1786785215964155e-10, 'z': 5.479698670681071e-10, 'element': 'Au'}, {'x': -8.365824420681072e-10, 'y': 5.479698670681071e-10, 'z': 5.479698670681071e-10, 'element': 'Au'}, {'x': -3.1786785793189305e-10, 'y': 2.5935729784035854e-10, 'z': 2.5935729784035854e-10, 'element': 'Au'}, {'x': -5.479698728403586e-10, 'y': 6.064804329318931e-10, 'z': 8.365824478403586e-10, 'element': 'Au'}, {'x': -5.479698728403586e-10, 'y': 8.365824478403586e-10, 'z': 6.064804329318931e-10, 'element': 'Au'}, {'x': -3.1786785793189305e-10, 'y': 6.064804329318931e-10, 'z': 6.064804329318931e-10, 'element': 'Au'}, {'x': -5.772251500000001e-10, 'y': 2.8861257500000004e-10, 'z': 2.8861257500000004e-10, 'element': 'Cu'}, {'x': -2.8861257500000004e-10, 'y': 0, 'z': 2.8861257500000004e-10, 'element': 'Cu'}, {'x': -2.8861257500000004e-10, 'y': 2.8861257500000004e-10, 'z': 0, 'element': 'Cu'}, {'x': -5.772251500000001e-10, 'y': 5.772251500000001e-10, 'z': 5.772251500000001e-10, 'element': 'Cu'}, {'x': -7.215314375000001e-10, 'y': 1.0101440125000002e-09, 'z': 6.837466832386051e-10, 'element': 'Cu'}, {'x': -7.215314375000001e-10, 'y': 6.837466832386051e-10, 'z': 1.0101440125000002e-09, 'element': 'Cu'}, {'x': -1.0479287667613952e-09, 'y': 1.0101440125000002e-09, 'z': 1.0101440125000002e-09, 'element': 'Cu'}, {'x': -3.951341082386051e-10, 'y': 4.329188625000001e-10, 'z': 4.329188625000001e-10, 'element': 'Cu'}, {'x': -7.215314375000001e-10, 'y': 7.593161917613952e-10, 'z': 4.329188625000001e-10, 'element': 'Cu'}, {'x': -7.215314375000001e-10, 'y': 4.329188625000001e-10, 'z': 7.593161917613951e-10, 'element': 'Cu'}, {'x': -4.329188625000001e-10, 'y': 1.4430628750000002e-10, 'z': 4.707036167613951e-10, 'element': 'Cu'}, {'x': -4.329188625000001e-10, 'y': 4.707036167613951e-10, 'z': 1.4430628750000002e-10, 'element': 'Cu'}, {'x': -1.0652153323860501e-10, 'y': 1.4430628750000002e-10, 'z': 1.4430628750000002e-10, 'element': 'Cu'}, {'x': -7.593161917613952e-10, 'y': 7.215314375000001e-10, 'z': 7.215314375000001e-10, 'element': 'Cu'}, {'x': -4.329188625000001e-10, 'y': 3.9513410823860503e-10, 'z': 7.215314375000001e-10, 'element': 'Cu'}, {'x': -4.329188625000001e-10, 'y': 7.215314375000001e-10, 'z': 3.9513410823860503e-10, 'element': 'Cu'}]}, 'natoms': 24, 'element': {'Cu': 16, 'Au': 8}}]",PN_GVQBBGNQUCOVMTT245I5AV7ZKLKLVKQY,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 0.1460925404133319, 'value': 3.5062209699199656}"
AgCu8,I4/mmm,"[{'data': {'a': [6.58031478e-10, 1.28582011e-10, 0], 'b': [0, 1.28582011e-10, 6.58031478e-10], 'c': [6.58031478e-10, 0, 6.58031478e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ag'}, {'x': 2.1990782258635555e-10, 'y': 0, 'z': 2.1990782258635555e-10, 'element': 'Cu'}, {'x': 4.3812365541364447e-10, 'y': 0, 'z': 4.3812365541364447e-10, 'element': 'Cu'}, {'x': 2.1990782258635555e-10, 'y': 1.28582011e-10, 'z': 4.3812365541364447e-10, 'element': 'Cu'}, {'x': 4.316138092246235e-10, 'y': 1.28582011e-10, 'z': 6.58031478e-10, 'element': 'Cu'}, {'x': 6.58031478e-10, 'y': 1.28582011e-10, 'z': 8.844491467753766e-10, 'element': 'Cu'}, {'x': 4.3812365541364447e-10, 'y': 1.2858201099999996e-10, 'z': 2.1990782258635555e-10, 'element': 'Cu'}, {'x': 6.58031478e-10, 'y': 1.28582011e-10, 'z': 4.316138092246235e-10, 'element': 'Cu'}, {'x': 8.844491467753766e-10, 'y': 1.28582011e-10, 'z': 6.58031478e-10, 'element': 'Cu'}]}, 'natoms': 9, 'element': {'Cu': 8, 'Ag': 1}}]",PN_6SUQCYTBWFSBQYXFGL7D6B7Y76VZQYGY,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.8151936839697029, 'value': 7.336743155727326}"
Ag4Au2,Pnnm,"[{'data': {'a': [2.9614506500000005e-10, 0, 0], 'b': [0, 7.66823624e-10, 0], 'c': [0, 0, 4.56957481e-10], 'atoms': [{'x': 6.1756492671749e-11, 'y': 2.596008914219532e-10, 'z': 0, 'element': 'Ag'}, {'x': 8.631603982825101e-11, 'y': 6.430127034219532e-10, 'z': 2.284787405e-10, 'element': 'Ag'}, {'x': 2.0982902517174905e-10, 'y': 1.238109205780468e-10, 'z': 2.284787405e-10, 'element': 'Ag'}, {'x': 2.3438857232825105e-10, 'y': 5.072227325780468e-10, 'z': 0, 'element': 'Ag'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 1.4807253250000002e-10, 'y': 3.83411812e-10, 'z': 2.284787405e-10, 'element': 'Au'}]}, 'natoms': 6, 'element': {'Au': 2, 'Ag': 4}}]",PN_ABD4OWEKNNCLVYITJOTNXWMAOCMACU43,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.20417195453704196, 'value': 1.2250317272222517}"
AgAu3,P4/mmm,"[{'data': {'a': [0, 0, -3.3067499500000003e-10], 'b': [0, 3.3067499500000003e-10, 0], 'c': [6.59421233e-10, 0, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ag'}, {'x': 3.297106165e-10, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 1.6472426806257824e-10, 'y': 1.6533749750000001e-10, 'z': -1.6533749750000001e-10, 'element': 'Au'}, {'x': 4.946969649374218e-10, 'y': 1.6533749750000001e-10, 'z': -1.6533749750000001e-10, 'element': 'Au'}]}, 'natoms': 4, 'element': {'Au': 3, 'Ag': 1}}]",PN_PQNW2N7OA275OBPXJY3XLJUP4J333WHZ,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.005047261960878124, 'value': 0.020189047843512498}"
Ag4Cu2,Pnnm,"[{'data': {'a': [2.94846268e-10, 0, 0], 'b': [0, 7.303616070000001e-10, 0], 'c': [0, 0, 4.3270116300000005e-10], 'atoms': [{'x': 6.703446956948396e-11, 'y': 2.449550079907927e-10, 'z': 0, 'element': 'Ag'}, {'x': 8.038866443051603e-11, 'y': 6.101358114907927e-10, 'z': 2.1635058150000002e-10, 'element': 'Ag'}, {'x': 2.1445760356948396e-10, 'y': 1.202257955092073e-10, 'z': 2.1635058150000002e-10, 'element': 'Ag'}, {'x': 2.2781179843051605e-10, 'y': 4.854065990092073e-10, 'z': 0, 'element': 'Ag'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Cu'}, {'x': 1.47423134e-10, 'y': 3.6518080350000003e-10, 'z': 2.1635058150000002e-10, 'element': 'Cu'}]}, 'natoms': 6, 'element': {'Cu': 2, 'Ag': 4}}]",PN_N4IEHRJBFVBFTFGDYGF6KELDJ6C35R7M,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.28991231457642286, 'value': 1.7394738874585371}"
Ag4Cu2,Cmcm,"[{'data': {'a': [-1.43691459e-10, 7.25901368e-10, 0], 'b': [-1.43691459e-10, -7.25901368e-10, 0], 'c': [0, 0, 4.65450154e-10], 'atoms': [{'x': -1.43691459e-10, 'y': 7.121318610946268e-10, 'z': 0, 'element': 'Ag'}, {'x': -1.43691459e-10, 'y': -3.895090195806056e-10, 'z': 2.32725077e-10, 'element': 'Ag'}, {'x': -1.43691459e-10, 'y': 7.409577238145083e-11, 'z': 2.32725077e-10, 'element': 'Ag'}, {'x': -1.43691459e-10, 'y': 2.4852705461454297e-10, 'z': 0, 'element': 'Ag'}, {'x': -1.43691459e-10, 'y': -2.393151339661852e-10, 'z': 0, 'element': 'Cu'}, {'x': -1.43691459e-10, 'y': 5.619379609621792e-10, 'z': 2.32725077e-10, 'element': 'Cu'}]}, 'natoms': 6, 'element': {'Cu': 2, 'Ag': 4}}]",PN_5UZEYDWPBNIJG37C2NQVS3XMJ36YKPO4,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.09691304375706504, 'value': 0.5814782625423902}"
AgCu3,Pmm2,"[{'data': {'a': [2.70305942e-10, 0, 0], 'b': [0, 0, 4.3543201500000005e-10], 'c': [0, -4.6100861000000006e-10, 0], 'atoms': [{'x': 0, 'y': -3.2871757927440003e-13, 'z': 0, 'element': 'Ag'}, {'x': 0, 'y': -1.59416869539722e-10, 'z': 2.1771600750000002e-10, 'element': 'Cu'}, {'x': 1.35152971e-10, 'y': -2.3015319162245182e-10, 'z': 0, 'element': 'Cu'}, {'x': 1.35152971e-10, 'y': -3.784489061285805e-10, 'z': 2.1771600750000002e-10, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 3, 'Ag': 1}}]",PN_DKXORZLRXWEDC3TLGN6SZUESXLTIZ7QV,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.1014810538587132, 'value': 0.4059242154348528}"
Ag4Cu4,Pnma,"[{'data': {'a': [4.86288249e-10, 0, 0], 'b': [0, 4.53969589e-10, 0], 'c': [0, 0, 5.45241974e-10], 'atoms': [{'x': 5.01125876053488e-11, 'y': 1.1349239725e-10, 'z': 6.734165303365643e-11, 'element': 'Ag'}, {'x': 1.930315368946512e-10, 'y': 3.4047719175e-10, 'z': 3.3996264003365643e-10, 'element': 'Ag'}, {'x': 2.932567121053488e-10, 'y': 1.1349239725e-10, 'z': 2.052793339663436e-10, 'element': 'Ag'}, {'x': 4.361756613946512e-10, 'y': 3.4047719175e-10, 'z': 4.779003209663437e-10, 'element': 'Ag'}, {'x': 4.003776978309909e-11, 'y': 1.1349239725e-10, 'z': 3.410509539185999e-10, 'element': 'Cu'}, {'x': 2.031063547169009e-10, 'y': 3.4047719175e-10, 'z': 6.84299669185999e-11, 'element': 'Cu'}, {'x': 2.831818942830991e-10, 'y': 1.1349239725e-10, 'z': 4.768120070814001e-10, 'element': 'Cu'}, {'x': 4.462504792169009e-10, 'y': 3.4047719175e-10, 'z': 2.0419102008140012e-10, 'element': 'Cu'}]}, 'natoms': 8, 'element': {'Cu': 4, 'Ag': 4}}]",PN_ZEPKARXH4DSETB3NARXCAEKEZAUUXP2B,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.10867029803382922, 'value': 0.8693623842706337}"
Ag2Cu6,Pmmn,"[{'data': {'a': [5.30411503e-10, 0, 0], 'b': [0, 4.3749613e-10, 0], 'c': [0, 0, 4.6458533600000004e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 3.0430976454495657e-10, 'element': 'Ag'}, {'x': 2.652057515e-10, 'y': 2.18748065e-10, 'z': 1.6027557145504345e-10, 'element': 'Ag'}, {'x': 0, 'y': 2.18748065e-10, 'z': 1.4813183110757976e-10, 'element': 'Cu'}, {'x': 1.3328736649050647e-10, 'y': 0, 'z': 7.233591358593321e-11, 'element': 'Cu'}, {'x': 1.3191838500949354e-10, 'y': 2.18748065e-10, 'z': 3.922494224140668e-10, 'element': 'Cu'}, {'x': 2.652057515e-10, 'y': 0, 'z': 3.1645350489242023e-10, 'element': 'Cu'}, {'x': 3.9712413650949355e-10, 'y': 0, 'z': 7.233591358593321e-11, 'element': 'Cu'}, {'x': 3.984931179905065e-10, 'y': 2.18748065e-10, 'z': 3.922494224140668e-10, 'element': 'Cu'}]}, 'natoms': 8, 'element': {'Cu': 6, 'Ag': 2}}]",PN_NSUQICUWVEPK4SJQGLYJBJ7JQBC6KTKP,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.08709373481395843, 'value': 0.6967498785116675}"
Au4Cu2,I4/mcm,"[{'data': {'a': [-3.14881603e-10, 3.14881603e-10, 2.4680829000000003e-10], 'b': [3.14881603e-10, -3.14881603e-10, 2.4680829000000003e-10], 'c': [3.14881603e-10, 3.14881603e-10, -2.4680829000000003e-10], 'atoms': [{'x': 2.150894639251453e-10, 'y': 9.979213907485467e-11, 'z': 0, 'element': 'Au'}, {'x': 2.150894670739613e-10, 'y': -9.979213592603862e-11, 'z': 2.4680828753191715e-10, 'element': 'Au'}, {'x': 9.979213592603863e-11, 'y': 4.1467373892603867e-10, 'z': 2.4680829003964455e-18, 'element': 'Au'}, {'x': 9.979213907485469e-11, 'y': 2.150894639251453e-10, 'z': 2.4680829000000003e-10, 'element': 'Au'}, {'x': 0, 'y': 0, 'z': 1.2340414500000002e-10, 'element': 'Cu'}, {'x': 0, 'y': 0, 'z': 3.7021243500000005e-10, 'element': 'Cu'}]}, 'natoms': 6, 'element': {'Cu': 2, 'Au': 4}}]",PN_5DTCAFNDF4ZSJBDSAAGBFHRIGGU3QNDA,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 0.038145708445875094, 'value': 0.22887425067525058}"
Au2Cu2,I4_1/amd,"[{'data': {'a': [-1.92433196e-10, 4.09382295e-10, 1.92433196e-10], 'b': [1.92433196e-10, 4.09382295e-10, -1.92433196e-10], 'c': [-1.92433196e-10, -4.09382295e-10, -1.92433196e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': -1.9243319599999999e-10, 'y': 2.046911475e-10, 'z': -1.2924697071141057e-26, 'element': 'Au'}, {'x': 0, 'y': 2.046911475e-10, 'z': -1.92433196e-10, 'element': 'Cu'}, {'x': 0, 'y': 4.09382295e-10, 'z': 0, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Cu': 2, 'Au': 2}}]",PN_32BA5IWT7K7NWXUQN77VMYR2P7SDU4KJ,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': -0.027438463001000724, 'value': -0.1097538520040029}"
Au2Cu4,I4_1/amd,"[{'data': {'a': [-1.71897847e-10, 1.71897847e-10, 7.691182180000001e-10], 'b': [1.71897847e-10, -1.71897847e-10, 7.691182180000001e-10], 'c': [1.71897847e-10, 1.71897847e-10, -7.691182180000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Au'}, {'x': 0, 'y': 1.71897847e-10, 'z': 3.8455910900000004e-10, 'element': 'Au'}, {'x': 1.71897847e-10, 'y': 0, 'z': 2.688311982385106e-10, 'element': 'Cu'}, {'x': 1.71897847e-10, 'y': 0, 'z': 5.002870197614894e-10, 'element': 'Cu'}, {'x': -3.874031972339275e-27, 'y': 3.874031972339275e-27, 'z': 6.533903072385107e-10, 'element': 'Cu'}, {'x': 3.874031972339275e-27, 'y': -3.874031972339275e-27, 'z': 8.848461287614895e-10, 'element': 'Cu'}]}, 'natoms': 6, 'element': {'Cu': 4, 'Au': 2}}]",PN_MPYOS2RL3LNQJ4UZH4GFQTPTK6CE2Q3Q,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG'}, 'value_per_atom': 0.2651782826088945, 'value': 1.591069695653367}"
